id;pembuat;pasir;batu;air
1;Aritonang;1;1;1
2;Aruan;1;1;1
4;Hutabarat;1;1;1
6;Aritonang;4;4;4
7;Aruan;1;1;1
9;Hutabarat;2;2;2
11;Aritonang;1;1;1
12;Aruan;1;1;1
14;Hutabarat;3;3;3
16;Aritonang;3;3;3
17;Aruan;5;5;5
19;Hutabarat;5;5;5
21;Aritonang;3;3;3
22;Aruan;3;3;3
24;Hutabarat;5;5;5
26;Aritonang;4;4;4
27;Aruan;3;3;3
29;Hutabarat;1;1;1
31;Aritonang;3;3;3
32;Aruan;2;2;2
34;Hutabarat;4;4;4
36;Aritonang;5;5;5
37;Aruan;5;5;5
39;Hutabarat;1;1;1
41;Aritonang;5;5;5
42;Aruan;4;4;4
44;Hutabarat;5;5;5
46;Aritonang;2;2;2
47;Aruan;4;4;4
49;Hutabarat;3;3;3
51;Aritonang;1;1;1
52;Aruan;1;1;1
54;Hutabarat;1;1;1
56;Aritonang;5;5;5
57;Aruan;5;5;5
59;Hutabarat;5;5;5
61;Aritonang;5;5;5
62;Aruan;5;5;5
64;Hutabarat;1;1;1
66;Aritonang;3;3;3
67;Aruan;3;3;3
69;Hutabarat;4;4;4
71;Aritonang;2;2;2
72;Aruan;4;4;4
74;Hutabarat;3;3;3
